,fixed_no_overlap,fixed_overlap,recursive,semantic,hadith_aware
What did the Prophet say about intention,✗,✗,✗,✗,✗
How did the revelation come to the Proph,✗,✗,✗,✗,✗
What is the generosity of the Prophet in,✗,✗,✗,✗,✗
What are the five pillars of Islam?,✓,✓,✓,✓,✓
How should ablution (wudu) be performed?,✓,✓,✓,✓,✓
What is the ruling on ghusl after interc,✗,✗,✓,✗,✓
What did the Prophet say about seeking k,✓,✓,✓,✓,✓
What is the adhan (call to prayer) wordi,✓,✓,✓,✓,✓
What would happened to the least punishe,✗,✗,✗,✗,✗
What is tayammum and when is it used?,✓,✓,✓,✓,✓
What is the virtue of the Friday prayer?,✓,✓,✓,✓,✓
How did Abu Sufyan describe the Prophet ,✓,✓,✓,✓,✓
